feature	score	p-value	#I-out-of-206	#O-out-of-220
,,group_16648	15.3143494217	9.1022466878e-05	65.0	30.0
,,group_2903	15.3098411297	9.12399500438e-05	17.0	1.0
,,group_14132	15.3098411297	9.12399500438e-05	17.0	1.0
,,bin3	14.9880317741	0.000108195202438	44.0	16.0
,,group_1936	14.9880317741	0.000108195202438	44.0	16.0
,,group_3105	14.9308927965	0.000111521763655	47.0	18.0
,,group_5418	14.9180683394	0.000112282423548	19.0	2.0
,,group_5561	14.9180683394	0.000112282423548	19.0	2.0
,,group_35525	14.9180683394	0.000112282423548	19.0	2.0
,,group_13679	14.7356398941	0.000123685986345	4.0	26.0
,,group_22333	14.7249227714	0.00012439107446	21.0	3.0
,,group_206	14.7249227714	0.00012439107446	21.0	3.0
,,group_197	14.7249227714	0.00012439107446	21.0	3.0
,,group_642	14.695525585	0.000126345981397	57.0	25.0
,,group_21877	14.5682330667	0.000135174239256	45.0	17.0
,,group_8985	14.5003091885	0.000140136539946	102.0	59.0
,,group_920	14.4984995587	0.000140271224901	72.0	36.0
,,group_579	14.4984995587	0.000140271224901	72.0	36.0
,,group_15724	14.3028858078	0.00015562611476	55.0	24.0
,,group_14373	14.2549659935	0.000159639030638	16.0	1.0
,,group_17110	14.2549659935	0.000159639030638	16.0	1.0
,,group_17598	14.2549659935	0.000159639030638	16.0	1.0
,,group_17109	14.2549659935	0.000159639030638	16.0	1.0
,,group_17597	14.2549659935	0.000159639030638	16.0	1.0
,,group_21944	14.1748069285	0.000166586093432	46.0	18.0
,,group_21943	14.1748069285	0.000166586093432	46.0	18.0
,,group_10215	14.0454545455	0.000178444615947	0.0	15.0
,,group_4504	13.8882436011	0.000194008228608	18.0	2.0
,,rclC	13.8754900552	0.000195329246953	33.0	10.0
,,rclR_3	13.8754900552	0.000195329246953	33.0	10.0
,,group_4814	13.8729190127	0.000195596652295	4.0	25.0
,,group_21530	13.8729190127	0.000195596652295	4.0	25.0
,,group_16521	13.8729190127	0.000195596652295	4.0	25.0
,,group_11600	13.8729190127	0.000195596652295	4.0	25.0
,,group_3113	13.8729190127	0.000195596652295	4.0	25.0
,,group_14127	13.8640887026	0.000196517874245	26.0	6.0
,,group_21871	13.8428067079	0.00019875612063	50.0	21.0
,,group_14932	13.8428067079	0.00019875612063	50.0	21.0
,,group_21870	13.8428067079	0.00019875612063	50.0	21.0
,,dbpA_2	13.8428067079	0.00019875612063	50.0	21.0
,,group_13837	13.8428067079	0.00019875612063	50.0	21.0
,,tnsA	13.8062607614	0.000202659777953	44.0	17.0
,,group_21879	13.8062607614	0.000202659777953	44.0	17.0
,,group_11723	13.8062607614	0.000202659777953	44.0	17.0
,,group_21878	13.8062607614	0.000202659777953	44.0	17.0
,,group_21619	13.8053558533	0.000202757409554	47.0	19.0
,,group_21621	13.8053558533	0.000202757409554	47.0	19.0
,,pcrA	13.8053558533	0.000202757409554	47.0	19.0
,,group_21620	13.8053558533	0.000202757409554	47.0	19.0
,,group_16722	13.8053558533	0.000202757409554	47.0	19.0
,,group_2747	13.7432662751	0.000209570755441	24.0	5.0
,,group_3171	13.7222495107	0.000211928891572	20.0	3.0
,,xre_1	13.7222495107	0.000211928891572	20.0	3.0
PA14_48500,,group_9216	13.706587499	0.000213703579771	21.0	56.0
,,group_17044	13.6875008487	0.000215886575663	22.0	4.0
,,group_12677	13.6875008487	0.000215886575663	22.0	4.0
,,group_1510	13.5929479259	0.000227036815302	61.0	29.0
,,fic_2	13.5929479259	0.000227036815302	61.0	29.0
,,group_9714	13.5826045093	0.000228291262348	2.0	20.0
,,group_1470	13.5200957574	0.000236022373042	51.0	22.0
,,group_16681	13.5074755616	0.000237614974883	39.0	14.0
,,group_16726	13.4577643944	0.000243994321106	48.0	20.0
,,group_16725	13.4577643944	0.000243994321106	48.0	20.0
,,recQ_2	13.4577643944	0.000243994321106	48.0	20.0
,,group_3406	13.4577643944	0.000243994321106	48.0	20.0
,,group_11754	13.4412514837	0.000246151362085	42.0	16.0
,,group_286	13.4412514837	0.000246151362085	42.0	16.0
,,group_21941	13.4286218636	0.000247814100582	45.0	18.0
,,group_2098	13.4286218636	0.000247814100582	45.0	18.0
,,group_6789	13.3535841225	0.000257929202819	29.0	8.0
,,pgrR_4	13.3535841225	0.000257929202819	29.0	8.0
,,aguA_1	13.2902912621	0.000266784032771	66.0	33.0
,,group_10106	13.2017266108	0.000279691324171	15.0	1.0
,,group_21844	13.1301588703	0.000290580132223	49.0	21.0
,,dmlR_26	13.1301588703	0.000290580132223	49.0	21.0
,,group_21846	13.1301588703	0.000290580132223	49.0	21.0
,,mdtO	13.1301588703	0.000290580132223	49.0	21.0
,,group_9987	13.1301588703	0.000290580132223	49.0	21.0
,,gst_2	13.1301588703	0.000290580132223	49.0	21.0
,,group_21833	13.1301588703	0.000290580132223	49.0	21.0
,,emrA_3	13.1301588703	0.000290580132223	49.0	21.0
,,group_16721	13.1301588703	0.000290580132223	49.0	21.0
,,group_21840	13.1301588703	0.000290580132223	49.0	21.0
,,pucR	13.1301588703	0.000290580132223	49.0	21.0
,,emrY	13.1301588703	0.000290580132223	49.0	21.0
,,group_5261	13.1301588703	0.000290580132223	49.0	21.0
,,dmlR_27	13.1301588703	0.000290580132223	49.0	21.0
,,mdtN_4	13.1301588703	0.000290580132223	49.0	21.0
,,group_9755	13.1301588703	0.000290580132223	49.0	21.0
,,group_21834	13.1301588703	0.000290580132223	49.0	21.0
,,group_21831	13.1301588703	0.000290580132223	49.0	21.0
,,group_21950	13.0743553534	0.000299366230952	46.0	19.0
,,neo_2	13.0292523011	0.000306662961597	32.0	10.0
,,group_3799	13.0154583281	0.000308930147583	4.0	24.0
,,group_4175	12.9454158692	0.000320705846621	60.0	29.0
,,dmlR_14	12.879646955	0.000332174896026	8.0	32.0
,,group_11930	12.8624332234	0.00033524440566	17.0	2.0
,,group_14453	12.8624332234	0.00033524440566	17.0	2.0
,,group_196	12.8208737864	0.000342773604944	50.0	22.0
,,group_7084	12.8208737864	0.000342773604944	50.0	22.0
,,group_13789	12.8208737864	0.000342773604944	50.0	22.0
,,group_22336	12.7985909721	0.000346880510091	23.0	5.0
,,hsdR_2	12.7413681812	0.000357655964017	47.0	20.0
,,group_430	12.7413681812	0.000357655964017	47.0	20.0
,,rapA_4	12.7413681812	0.000357655964017	47.0	20.0
,,group_16709	12.7413681812	0.000357655964017	47.0	20.0
,,group_881	12.7368672447	0.000358517709702	77.0	42.0
,,group_4776	12.6928166728	0.00036706293672	44.0	18.0
,,group_16667	12.6928166728	0.00036706293672	44.0	18.0
,,group_13822	12.5284237017	0.000400807798481	51.0	23.0
,,group_13849	12.4278099697	0.000422987626516	48.0	21.0
,,group_24694	12.3561672551	0.000439532097303	3.0	21.0
,,group_16024	12.3538848742	0.000440069768229	45.0	19.0
,,group_21940	12.3538848742	0.000440069768229	45.0	19.0
,,group_21847	12.3538848742	0.000440069768229	45.0	19.0
