feature	score	p-value	#I-out-of-135	#O-out-of-14
PA14_06200	133.526110106	6.93644283791e-31	4780.0	773.0
PA14_29330	132.273058421	1.30392080862e-30	5852.0	316.0
PA14_32250	131.973851598	1.51602976176e-30	2644.0	481.0
PA14_43100	130.636299638	2.97394531186e-30	6650.0	381.0
PA14_22540,wrbA	129.796253288	4.54074222864e-30	3936.0	173.0
PA14_63710,gtrB	129.534928551	5.17969185097e-30	4366.0	714.0
PA14_10970	129.444823036	5.4202452922e-30	4041.0	181.0
PA14_33250	128.514848805	8.65969468129e-30	1455.0	304.0
PA14_22520	126.067113125	2.9725844729e-29	4256.0	200.0
PA14_32810	126.039939193	3.01356834874e-29	4025.0	665.0
PA14_03163	124.762865988	5.73550217861e-29	797.0	196.0
PA14_07300	123.825024389	9.20098372066e-29	2649.0	475.0
PA14_31280	123.587093379	1.03731696815e-28	5871.0	327.0
PA14_10070	122.702905569	1.61973963583e-28	756.0	188.0
PA14_63780	121.967933948	2.34599106536e-28	4815.0	765.0
PA14_52440	119.769856282	7.10426454899e-28	4589.0	733.0
PA14_37990	119.6819129	7.42630414177e-28	4735.0	752.0
PA14_28820	119.386690513	8.61801296867e-28	3075.0	120.0
PA14_39100	119.350095443	8.77847672263e-28	5728.0	880.0
PA14_37980	119.285341332	9.06977028556e-28	4357.0	702.0
PA14_40270	119.184030306	9.54502851228e-28	4510.0	722.0
PA14_36000,prpR	118.951459502	1.07323948473e-27	9669.0	646.0
PA14_20330,phnE	118.603335839	1.27913646322e-27	4553.0	727.0
PA14_09880	118.302605394	1.4885451938e-27	3235.0	551.0
PA14_10960	117.610919314	2.10965943919e-27	4558.0	231.0
PA14_28780	117.153019924	2.65752382406e-27	2038.0	52.0
PA5204-PA5205,phrY	115.857454591	5.107173094e-27	3923.0	641.0
PA14_71120	115.097853122	7.49084117766e-27	3711.0	612.0
PA14_63740	114.03624946	1.27947957984e-26	3088.0	527.0
PA14_03390	113.941917221	1.34181926522e-26	1330.0	12.0
PA14_31360	113.063879797	2.08933881178e-26	5846.0	337.0
PA14_30860,trbG	112.732956464	2.46884399451e-26	6460.0	387.0
PA14_20370,phnH	112.453585143	2.84241825298e-26	4018.0	650.0
PA14_49580	111.54653382	4.49138414098e-26	3942.0	639.0
PA14_01770	110.822914872	6.46995061597e-26	4142.0	206.0
PA14_48330	110.540747982	7.4596204911e-26	4415.0	700.0
PA14_53660	109.203071602	1.46482980947e-25	3546.0	584.0
PA14_37870	109.155710908	1.50025111341e-25	4450.0	703.0
PA14_02070	107.750297641	3.04866644293e-25	5113.0	787.0
PA14_24870	107.712046567	3.10807690995e-25	2246.0	405.0
PA14_69540	106.929037	4.61398521461e-25	1415.0	284.0
PA14_37550	106.788310617	4.95353682692e-25	4225.0	671.0
PA14_35720	106.617302799	5.39996627468e-25	852.0	196.0
PA14_22500	106.597225842	5.45495113216e-25	3969.0	197.0
PA14_54030	105.895242577	7.77380248185e-25	4072.0	650.0
PA14_54970	105.259259259	1.07156843725e-24	1015.0	0.0
PA14_10050	105.212671999	1.09706053438e-24	505.0	136.0
PA14_11020,fabG	105.208672722	1.09927696697e-24	4300.0	679.0
PA14_48890	105.166610114	1.12286142705e-24	3918.0	629.0
PA14_32660	105.056873337	1.18680066763e-24	4463.0	700.0
PA14_64280	104.829037569	1.33141836255e-24	5384.0	818.0
PA14_10160,fepD	104.337312059	1.70645054131e-24	3629.0	590.0
PA14_54110	103.554113575	2.53378157731e-24	4023.0	641.0
PA14_03550,cynX	103.085337346	3.21018202905e-24	4900.0	754.0
PA14_47390	102.653981585	3.99108541266e-24	4990.0	765.0
PA14_10830	102.408564775	4.51744306773e-24	7850.0	516.0
PA14_39850	102.117509008	5.23240248215e-24	3715.0	599.0
PA14_01680	101.901843754	5.83421936136e-24	5508.0	830.0
PA14_39750	101.154954122	8.50619231755e-24	4669.0	722.0
PA14_35710	100.96442136	9.36505929185e-24	797.0	184.0
PA14_39730	100.960668407	9.38282019582e-24	4353.0	681.0
PA14_39230	100.825344118	1.00462605044e-23	4509.0	701.0
PA14_19650	100.816551632	1.00909552079e-23	4828.0	742.0
PA14_59970	100.631459998	1.10793910741e-23	7321.0	474.0
PA14_26300	99.9648735232	1.55124016968e-23	2488.0	432.0
PA14_63770	99.3580302935	2.1074161581e-23	3022.0	504.0
PA14_29340	99.018582075	2.50143604891e-23	4549.0	704.0
PA14_12180	98.5802448437	3.12117375997e-23	3897.0	619.0
PA14_55410	98.2266419146	3.73135901168e-23	6188.0	383.0
PA14_10990,hpaC	98.152689253	3.8733436193e-23	4932.0	752.0
PA14_10840	97.983903809	4.21797297167e-23	7134.0	462.0
PA14_31270	97.9268639484	4.34124031729e-23	2587.0	103.0
PA14_37915	97.7641906389	4.71293964835e-23	5543.0	829.0
PA14_08250	97.6170147591	5.07658286644e-23	1712.0	321.0
PA14_35700	97.5773083502	5.17940935545e-23	194.0	72.0
PA14_08200	96.3972479438	9.39977214885e-23	2207.0	390.0
PA14_63720	96.1091015233	1.08723827001e-22	3765.0	599.0
PA3964-PA3965,P24	96.0675353739	1.11030623618e-22	5339.0	801.0
PA14_32750	95.9929432564	1.15293700688e-22	5032.0	762.0
PA14_22600,grtA	95.9808040274	1.16002806666e-22	5103.0	771.0
PA14_39670	95.980752022	1.16005853901e-22	3092.0	510.0
PA14_04710	95.4099917081	1.54770549372e-22	5313.0	315.0
PA14_01130	95.1557246333	1.75982554121e-22	5702.0	347.0
PA14_30870,trbF	94.6418599544	2.28142487817e-22	5633.0	342.0
PA14_03360	93.697269895	3.67667703754e-22	3381.0	165.0
PA14_37850,yejE	93.584483454	3.89227021218e-22	4585.0	702.0
PA14_15500,traK	93.0866116402	5.00551998026e-22	182.0	68.0
PA14_48300	91.8444410817	9.37649112582e-22	5201.0	778.0
PA14_39590,metE	91.6993870854	1.00896137565e-21	5896.0	865.0
PA14_15350	91.5420119048	1.0924797283e-21	1338.0	262.0
PA14_14540	91.0310983827	1.41431747701e-21	1422.0	274.0
PA14_26580	90.871520176	1.53310506621e-21	2966.0	488.0
PA14_03370	89.3243464932	3.35109593125e-21	3206.0	156.0
PA14_59830	89.2583759532	3.46472849073e-21	9176.0	650.0
PA14_10890	89.02277419	3.90293393096e-21	4067.0	630.0
PA14_08610,5S-rRNA	88.8616935298	4.23403365786e-21	4271.0	656.0
PA14_55430,hxcS	88.0811208189	6.28243992973e-21	3789.0	593.0
PA14_55460,hxcZ	87.6581448152	7.78035036594e-21	3508.0	556.0
PA14_37520	87.5934296012	8.0391251463e-21	4432.0	675.0
PA14_51570	87.577896803	8.10250617151e-21	7756.0	530.0
PA14_10140,fepG	86.7435196642	1.2354797363e-20	4409.0	671.0
PA14_28750	86.5800662177	1.3419295182e-20	6050.0	387.0
PA14_49570	85.8390473454	1.95193538317e-20	4363.0	664.0
PA14_31970,czcC	85.6979237916	2.09632897799e-20	3257.0	521.0
PA14_13210	85.365592829	2.47998608296e-20	2782.0	128.0
PA14_55440,hxcR	85.2647931304	2.60968740556e-20	5208.0	770.0
PA14_47940	84.8445441249	3.22770214459e-20	3865.0	599.0
PA14_31370,tam	84.4574377887	3.92575640811e-20	6704.0	445.0
PA14_30950	84.2056991996	4.45883460183e-20	5045.0	307.0
PA14_63640,fadH2	83.6478552019	5.91243633289e-20	5130.0	758.0
PA14_03340	83.6438206303	5.92451509636e-20	3264.0	166.0
PA14_32650	83.1808824447	7.48783777321e-20	4571.0	687.0
